frequency (Hz),RIN (Hz^-1/2)
-16.623752,0.033452125
13.046115,0.102168898
42.715983,0.173659565
72.385851,0.205455943
102.055718,0.188705131
131.725586,0.126697693
161.395454,0.051361028
191.065321,0.008843999
220.735189,4.52E-05
250.405056,1.55E-05
280.074924,4.20E-06
309.744792,2.64E-06
339.414659,2.08E-06
369.084527,2.04E-06
398.754395,1.97E-06
428.424262,2.22E-06
458.09413,3.08E-06
487.763997,4.27E-06
517.433865,5.19E-06
547.103733,5.17E-06
576.7736,4.34E-06
606.443468,3.07E-06
636.113336,1.93E-06
665.783203,1.95E-06
695.453071,1.83E-06
725.122938,1.88E-06
754.792806,1.93E-06
784.462674,2.15E-06
814.132541,2.30E-06
843.802409,2.30E-06
873.472276,2.20E-06
903.142144,1.90E-06
932.812012,1.72E-06
962.481879,1.92E-06
992.151747,2.00E-06
1021.821615,1.88E-06
1051.491482,1.94E-06
1081.16135,2.03E-06
1110.831217,2.09E-06
1140.501085,2.05E-06
1170.170953,1.95E-06
1199.84082,1.84E-06
1229.510688,1.98E-06
1259.180556,2.09E-06
1288.850423,1.98E-06
1318.520291,1.85E-06
1348.190158,1.96E-06
1377.860026,1.80E-06
1407.529894,2.08E-06
1437.199761,2.09E-06
1466.869629,1.97E-06
1496.539497,1.78E-06
1526.209364,1.75E-06
1555.879232,1.87E-06
1585.549099,2.00E-06
1615.218967,1.92E-06
1644.888835,1.98E-06
1674.558702,2.04E-06
1704.22857,1.92E-06
1733.898437,1.89E-06
1763.568305,2.07E-06
1793.238173,2.17E-06
1822.90804,2.16E-06
1852.577908,1.98E-06
1882.247776,2.07E-06
1911.917643,1.96E-06
1941.587511,1.86E-06
1971.257378,2.06E-06
2000.927246,2.15E-06
2030.597114,1.96E-06
2060.266981,1.98E-06
2089.936849,2.03E-06
2119.606717,2.12E-06
2149.276584,2.21E-06
2178.946452,2.26E-06
2208.616319,2.54E-06
2238.286187,2.42E-06
2267.956055,2.54E-06
2297.625922,2.34E-06
2327.29579,2.18E-06
2356.965658,2.11E-06
2386.635525,2.17E-06
2416.305393,2.18E-06
2445.97526,2.45E-06
2475.645128,2.49E-06
2505.314996,2.31E-06
2534.984863,2.47E-06
2564.654731,2.37E-06
2594.324599,2.21E-06
2623.994466,2.26E-06
2653.664334,2.41E-06
2683.334201,2.34E-06
2713.004069,2.31E-06
2742.673937,2.51E-06
2772.343804,2.37E-06
2802.013672,2.48E-06
2831.683539,2.41E-06
2861.353407,2.52E-06
2891.023275,2.75E-06
2920.693142,2.56E-06
2950.36301,2.41E-06
2980.032878,2.48E-06
3009.702745,2.38E-06
3039.372613,2.51E-06
3069.04248,2.75E-06
3098.712348,2.55E-06
3128.382216,2.52E-06
3158.052083,2.55E-06
3187.721951,2.47E-06
3217.391819,2.61E-06
3247.061686,2.51E-06
3276.731554,2.37E-06
3306.401421,2.63E-06
3336.071289,2.20E-06
3365.741157,2.20E-06
3395.411024,2.38E-06
3425.080892,2.68E-06
3454.75076,2.81E-06
3484.420627,2.47E-06
3514.090495,2.46E-06
3543.760362,2.68E-06
3573.43023,2.92E-06
3603.100098,2.89E-06
3632.769965,2.38E-06
3662.439833,2.29E-06
3692.109701,2.37E-06
3721.779568,2.57E-06
3751.449436,2.72E-06
3781.119303,2.61E-06
3810.789171,2.82E-06
3840.459039,3.02E-06
3870.128906,2.82E-06
3899.798774,2.86E-06
3929.468641,2.96E-06
3959.138509,2.99E-06
3988.808377,3.02E-06
4018.478244,3.11E-06
4048.148112,2.92E-06
4077.81798,2.66E-06
4107.487847,2.74E-06
4137.157715,2.75E-06
4166.827582,2.59E-06
4196.49745,2.69E-06
4226.167318,2.58E-06
4255.837185,2.48E-06
4285.507053,2.54E-06
4315.176921,2.50E-06
4344.846788,2.84E-06
4374.516656,2.95E-06
4404.186523,2.73E-06
4433.856391,2.62E-06
4463.526259,2.83E-06
4493.196126,2.92E-06
4522.865994,2.95E-06
4552.535862,2.79E-06
4582.205729,2.69E-06
4611.875597,2.59E-06
4641.545464,2.88E-06
4671.215332,2.97E-06
4700.8852,3.19E-06
4730.555067,3.11E-06
4760.224935,3.04E-06
4789.894803,2.92E-06
4819.56467,2.94E-06
4849.234538,3.13E-06
4878.904405,2.88E-06
4908.574273,2.96E-06
4938.244141,2.76E-06
4967.914008,2.92E-06
4997.583876,2.70E-06
5027.253743,2.61E-06
5056.923611,2.86E-06
5086.593479,2.60E-06
5116.263346,2.83E-06
5145.933214,3.16E-06
5175.603082,3.45E-06
5205.272949,3.22E-06
5234.942817,2.94E-06
5264.612684,3.02E-06
5294.282552,3.25E-06
5323.95242,3.06E-06
5353.622287,2.67E-06
5383.292155,3.13E-06
5412.962023,3.44E-06
5442.63189,2.98E-06
5472.301758,2.92E-06
5501.971625,3.08E-06
5531.641493,3.13E-06
5561.311361,3.19E-06
5590.981228,2.93E-06
5620.651096,2.95E-06
5650.320964,3.01E-06
5679.990831,3.11E-06
5709.660699,2.93E-06
5739.330566,2.97E-06
5769.000434,3.09E-06
5798.670302,3.23E-06
5828.340169,3.17E-06
5858.010037,3.16E-06
5887.679905,3.16E-06
5917.349772,3.32E-06
5947.01964,3.47E-06
5976.689507,3.65E-06
6006.359375,3.61E-06
6036.029243,3.53E-06
6065.69911,3.57E-06
6095.368978,3.28E-06
6125.038845,3.01E-06
6154.708713,3.08E-06
6184.378581,3.03E-06
6214.048448,3.49E-06
6243.718316,3.74E-06
6273.388184,3.74E-06
6303.058051,3.54E-06
6332.727919,3.08E-06
6362.397786,3.50E-06
6392.067654,3.25E-06
6421.737522,3.37E-06
6451.407389,3.36E-06
6481.077257,3.31E-06
6510.747125,3.26E-06
6540.416992,3.48E-06
6570.08686,3.59E-06
6599.756727,3.47E-06
6629.426595,3.49E-06
6659.096463,3.32E-06
6688.76633,3.48E-06
6718.436198,3.56E-06
6748.106066,3.86E-06
6777.775933,3.91E-06
6807.445801,3.96E-06
6837.115668,3.43E-06
6866.785536,3.65E-06
6896.455404,3.56E-06
6926.125271,3.57E-06
6955.795139,3.78E-06
6985.465007,3.74E-06
7015.134874,3.43E-06
7044.804742,3.50E-06
7074.474609,3.53E-06
7104.144477,3.52E-06
7133.814345,3.38E-06
7163.484212,3.31E-06
7193.15408,3.56E-06
7222.823947,3.42E-06
7252.493815,3.35E-06
7282.163683,3.85E-06
7311.83355,3.99E-06
7341.503418,3.99E-06
7371.173286,4.00E-06
7400.843153,3.81E-06
7430.513021,3.69E-06
7460.182888,3.56E-06
7489.852756,3.38E-06
7519.522624,3.67E-06
7549.192491,3.84E-06
7578.862359,3.91E-06
7608.532227,3.80E-06
7638.202094,4.28E-06
7667.871962,4.33E-06
7697.541829,4.36E-06
7727.211697,4.25E-06
7756.881565,3.86E-06
7786.551432,4.05E-06
7816.2213,3.67E-06
7845.891168,3.88E-06
7875.561035,3.76E-06
7905.230903,3.74E-06
7934.90077,3.83E-06
7964.570638,3.70E-06
7994.240506,3.82E-06
8023.910373,3.62E-06
8053.580241,3.48E-06
8083.250109,3.47E-06
8112.919976,3.57E-06
8142.589844,4.02E-06
8172.259711,4.33E-06
8201.929579,4.32E-06
8231.599447,4.30E-06
8261.269314,4.10E-06
8290.939182,3.72E-06
8320.609049,4.08E-06
8350.278917,4.07E-06
8379.948785,3.98E-06
8409.618652,3.94E-06
8439.28852,3.78E-06
8468.958388,4.19E-06
8498.628255,4.19E-06
8528.298123,4.15E-06
8557.96799,4.06E-06
8587.637858,4.10E-06
8617.307726,4.50E-06
8646.977593,3.84E-06
8676.647461,3.72E-06
8706.317329,3.96E-06
8735.987196,4.24E-06
