Frequency (Hz),RIN (Hz^-1/2)
-46.29362,1.68E-04
-16.623752,0.000224029
13.046115,0.000227656
42.715983,1.76E-04
72.385851,1.02E-04
102.055718,4.25E-05
131.725586,1.14E-05
161.395454,1.58E-06
191.065321,2.85E-07
220.735189,2.90E-07
250.405056,3.01E-07
280.074924,3.14E-07
309.744792,3.25E-07
339.414659,3.33E-07
369.084527,3.41E-07
398.754395,3.51E-07
428.424262,3.62E-07
458.09413,3.73E-07
487.763997,3.85E-07
517.433865,3.94E-07
547.103733,3.98E-07
576.7736,4.01E-07
606.443468,4.12E-07
636.113336,4.36E-07
665.783203,4.62E-07
695.453071,4.79E-07
725.122938,4.88E-07
754.792806,4.94E-07
784.462674,4.97E-07
814.132541,5.02E-07
843.802409,5.05E-07
873.472276,5.12E-07
903.142144,5.27E-07
932.812012,5.53E-07
962.481879,5.84E-07
992.151747,6.04E-07
1021.821615,6.08E-07
1051.491482,6.05E-07
1081.16135,6.05E-07
1110.831217,6.16E-07
1140.501085,6.29E-07
1170.170953,6.38E-07
1199.84082,6.45E-07
1229.510688,6.59E-07
1259.180556,6.76E-07
1288.850423,6.84E-07
1318.520291,6.88E-07
1348.190158,6.96E-07
1377.860026,7.10E-07
1407.529894,7.15E-07
1437.199761,7.16E-07
1466.869629,7.27E-07
1496.539497,7.39E-07
1526.209364,7.49E-07
1555.879232,7.64E-07
1585.549099,7.80E-07
1615.218967,7.90E-07
1644.888835,7.99E-07
1674.558702,8.16E-07
1704.22857,8.35E-07
1733.898437,8.44E-07
1763.568305,8.46E-07
1793.238173,8.50E-07
1822.90804,8.60E-07
1852.577908,8.74E-07
1882.247776,8.79E-07
1911.917643,8.76E-07
1941.587511,8.84E-07
1971.257378,9.05E-07
2000.927246,9.28E-07
2030.597114,9.47E-07
2060.266981,9.66E-07
2089.936849,9.72E-07
2119.606717,9.66E-07
2149.276584,9.51E-07
2178.946452,9.39E-07
2208.616319,9.35E-07
2238.286187,9.37E-07
2267.956055,9.45E-07
2297.625922,9.55E-07
2327.29579,9.57E-07
2356.965658,9.58E-07
2386.635525,9.75E-07
2416.305393,1.01E-06
2445.97526,1.04E-06
2475.645128,1.05E-06
2505.314996,1.04E-06
2534.984863,1.03E-06
2564.654731,1.02E-06
2594.324599,1.02E-06
2623.994466,1.03E-06
2653.664334,1.06E-06
2683.334201,1.08E-06
2713.004069,1.08E-06
2742.673937,1.08E-06
2772.343804,1.07E-06
2802.013672,1.08E-06
2831.683539,1.08E-06
2861.353407,1.09E-06
2891.023275,1.10E-06
2920.693142,1.11E-06
2950.36301,1.11E-06
2980.032878,1.08E-06
3009.702745,1.06E-06
3039.372613,1.07E-06
3069.04248,1.09E-06
3098.712348,1.09E-06
3128.382216,1.09E-06
3158.052083,1.09E-06
3187.721951,1.11E-06
3217.391819,1.14E-06
3247.061686,1.15E-06
3276.731554,1.16E-06
3306.401421,1.17E-06
3336.071289,1.17E-06
3365.741157,1.18E-06
3395.411024,1.22E-06
3425.080892,1.25E-06
3454.75076,1.27E-06
3484.420627,1.27E-06
3514.090495,1.26E-06
3543.760362,1.23E-06
3573.43023,1.21E-06
3603.100098,1.20E-06
3632.769965,1.19E-06
3662.439833,1.17E-06
3692.109701,1.16E-06
3721.779568,1.16E-06
3751.449436,1.16E-06
3781.119303,1.16E-06
3810.789171,1.16E-06
3840.459039,1.18E-06
3870.128906,1.18E-06
3899.798774,1.17E-06
3929.468641,1.16E-06
3959.138509,1.16E-06
3988.808377,1.17E-06
4018.478244,1.20E-06
4048.148112,1.24E-06
4077.81798,1.27E-06
4107.487847,1.26E-06
4137.157715,1.23E-06
4166.827582,1.21E-06
4196.49745,1.22E-06
4226.167318,1.22E-06
4255.837185,1.20E-06
4285.507053,1.18E-06
4315.176921,1.18E-06
4344.846788,1.20E-06
4374.516656,1.21E-06
4404.186523,1.22E-06
4433.856391,1.23E-06
4463.526259,1.23E-06
4493.196126,1.22E-06
4522.865994,1.20E-06
4552.535862,1.18E-06
4582.205729,1.18E-06
4611.875597,1.18E-06
4641.545464,1.19E-06
4671.215332,1.19E-06
4700.8852,1.19E-06
4730.555067,1.19E-06
4760.224935,1.20E-06
4789.894803,1.21E-06
4819.56467,1.22E-06
4849.234538,1.22E-06
4878.904405,1.21E-06
4908.574273,1.21E-06
4938.244141,1.22E-06
4967.914008,1.24E-06
4997.583876,1.25E-06
5027.253743,1.24E-06
5056.923611,1.23E-06
5086.593479,1.21E-06
5116.263346,1.20E-06
5145.933214,1.20E-06
5175.603082,1.21E-06
5205.272949,1.21E-06
5234.942817,1.20E-06
5264.612684,1.19E-06
5294.282552,1.19E-06
5323.95242,1.21E-06
5353.622287,1.21E-06
5383.292155,1.21E-06
5412.962023,1.20E-06
5442.63189,1.19E-06
5472.301758,1.19E-06
5501.971625,1.20E-06
5531.641493,1.21E-06
5561.311361,1.19E-06
5590.981228,1.17E-06
5620.651096,1.16E-06
5650.320964,1.17E-06
5679.990831,1.20E-06
5709.660699,1.22E-06
5739.330566,1.23E-06
5769.000434,1.23E-06
5798.670302,1.21E-06
5828.340169,1.19E-06
5858.010037,1.17E-06
5887.679905,1.17E-06
5917.349772,1.19E-06
5947.01964,1.20E-06
5976.689507,1.20E-06
6006.359375,1.20E-06
6036.029243,1.21E-06
6065.69911,1.22E-06
6095.368978,1.21E-06
6125.038845,1.19E-06
6154.708713,1.16E-06
6184.378581,1.14E-06
6214.048448,1.14E-06
6243.718316,1.15E-06
6273.388184,1.17E-06
6303.058051,1.19E-06
6332.727919,1.19E-06
6362.397786,1.19E-06
6392.067654,1.19E-06
6421.737522,1.18E-06
6451.407389,1.18E-06
6481.077257,1.17E-06
6510.747125,1.17E-06
6540.416992,1.17E-06
6570.08686,1.17E-06
6599.756727,1.16E-06
6629.426595,1.14E-06
6659.096463,1.13E-06
6688.76633,1.13E-06
6718.436198,1.13E-06
6748.106066,1.14E-06
6777.775933,1.16E-06
6807.445801,1.19E-06
6837.115668,1.19E-06
6866.785536,1.17E-06
6896.455404,1.16E-06
6926.125271,1.16E-06
6955.795139,1.17E-06
6985.465007,1.19E-06
7015.134874,1.19E-06
7044.804742,1.18E-06
7074.474609,1.16E-06
7104.144477,1.16E-06
7133.814345,1.14E-06
7163.484212,1.12E-06
7193.15408,1.09E-06
7222.823947,1.08E-06
7252.493815,1.09E-06
7282.163683,1.09E-06
7311.83355,1.09E-06
7341.503418,1.08E-06
7371.173286,1.08E-06
7400.843153,1.08E-06
7430.513021,1.09E-06
7460.182888,1.10E-06
7489.852756,1.10E-06
7519.522624,1.10E-06
7549.192491,1.10E-06
7578.862359,1.09E-06
7608.532227,1.08E-06
7638.202094,1.07E-06
7667.871962,1.05E-06
7697.541829,1.05E-06
7727.211697,1.06E-06
7756.881565,1.09E-06
7786.551432,1.10E-06
7816.2213,1.10E-06
7845.891168,1.10E-06
7875.561035,1.10E-06
7905.230903,1.10E-06
7934.90077,1.12E-06
7964.570638,1.14E-06
7994.240506,1.16E-06
8023.910373,1.18E-06
8053.580241,1.25E-06
8083.250109,1.36E-06
8112.919976,1.53E-06
8142.589844,1.75E-06
8172.259711,2.06E-06
8201.929579,2.50E-06
8231.599447,2.91E-06
8261.269314,3.04E-06
8290.939182,2.77E-06
8320.609049,2.24E-06
8350.278917,1.73E-06
8379.948785,1.40E-06
8409.618652,1.26E-06
8439.28852,1.20E-06
8468.958388,1.17E-06
8498.628255,1.15E-06
8528.298123,1.12E-06
8557.96799,1.10E-06
8587.637858,1.08E-06
8617.307726,1.06E-06
8646.977593,1.03E-06
8676.647461,1.01E-06
8706.317329,1.01E-06
8735.987196,1.03E-06
8765.657064,1.06E-06
8795.326931,1.09E-06
8824.996799,1.11E-06
8854.666667,1.09E-06
8884.336534,1.08E-06
