Frequency (Hz),RIN (Hz^-1/2)
-46.29362,8.49E-05
-16.623752,0.000113191
13.046115,0.00011499
42.715983,8.91E-05
72.385851,5.17E-05
102.055718,2.15E-05
131.725586,5.87E-06
161.395454,1.31E-06
191.065321,1.07E-06
220.735189,1.07E-06
250.405056,1.06E-06
280.074924,1.03E-06
309.744792,1.02E-06
339.414659,1.03E-06
369.084527,1.04E-06
398.754395,1.05E-06
428.424262,1.06E-06
458.09413,1.08E-06
487.763997,1.10E-06
517.433865,1.09E-06
547.103733,1.09E-06
576.7736,1.09E-06
606.443468,1.10E-06
636.113336,1.11E-06
665.783203,1.10E-06
695.453071,1.08E-06
725.122938,1.07E-06
754.792806,1.05E-06
784.462674,1.04E-06
814.132541,1.02E-06
843.802409,1.01E-06
873.472276,1.02E-06
903.142144,1.04E-06
932.812012,1.06E-06
962.481879,1.06E-06
992.151747,1.07E-06
1021.821615,1.07E-06
1051.491482,1.06E-06
1081.16135,1.06E-06
1110.831217,1.05E-06
1140.501085,1.04E-06
1170.170953,1.04E-06
1199.84082,1.04E-06
1229.510688,1.02E-06
1259.180556,1.02E-06
1288.850423,1.04E-06
1318.520291,1.05E-06
1348.190158,1.05E-06
1377.860026,1.05E-06
1407.529894,1.03E-06
1437.199761,1.01E-06
1466.869629,1.02E-06
1496.539497,1.04E-06
1526.209364,1.07E-06
1555.879232,1.09E-06
1585.549099,1.09E-06
1615.218967,1.08E-06
1644.888835,1.06E-06
1674.558702,1.04E-06
1704.22857,1.04E-06
1733.898437,1.04E-06
1763.568305,1.04E-06
1793.238173,1.05E-06
1822.90804,1.05E-06
1852.577908,1.05E-06
1882.247776,1.05E-06
1911.917643,1.05E-06
1941.587511,1.06E-06
1971.257378,1.05E-06
2000.927246,1.01E-06
2030.597114,9.96E-07
2060.266981,1.00E-06
2089.936849,1.03E-06
2119.606717,1.05E-06
2149.276584,1.06E-06
2178.946452,1.06E-06
2208.616319,1.05E-06
2238.286187,1.04E-06
2267.956055,1.03E-06
2297.625922,1.02E-06
2327.29579,1.01E-06
2356.965658,1.03E-06
2386.635525,1.05E-06
2416.305393,1.06E-06
2445.97526,1.06E-06
2475.645128,1.05E-06
2505.314996,1.04E-06
2534.984863,1.05E-06
2564.654731,1.05E-06
2594.324599,1.05E-06
2623.994466,1.04E-06
2653.664334,1.05E-06
2683.334201,1.06E-06
2713.004069,1.04E-06
2742.673937,1.01E-06
2772.343804,9.86E-07
2802.013672,9.83E-07
2831.683539,9.91E-07
2861.353407,9.97E-07
2891.023275,9.98E-07
2920.693142,1.00E-06
2950.36301,9.98E-07
2980.032878,9.85E-07
3009.702745,9.78E-07
3039.372613,9.92E-07
3069.04248,1.02E-06
3098.712348,1.04E-06
3128.382216,1.04E-06
3158.052083,1.02E-06
3187.721951,1.01E-06
3217.391819,1.01E-06
3247.061686,1.01E-06
3276.731554,1.02E-06
3306.401421,1.03E-06
3336.071289,1.03E-06
3365.741157,1.01E-06
3395.411024,9.86E-07
3425.080892,9.74E-07
3454.75076,9.74E-07
