Frequency (Hz),1A,2A,3A,4A,5A
-16.623752,0.022941603,0.02272279,0.021803502,0.021818191,0.020970958
13.046115,0.069985611,0.069315708,0.066513722,0.066560833,0.063976176
42.715983,0.118874516,0.117736647,0.112976015,0.113058638,0.108668401
72.385851,0.140583309,0.139237643,0.133607627,0.133705338,0.128514839
102.055718,0.129073997,0.127839971,0.122669403,0.122760528,0.117993553
131.725586,0.086611141,0.085783085,0.082314482,0.082373733,0.079175949
161.395454,0.035077914,0.034743748,0.033337747,0.03336136,0.032066627
191.065321,0.006029951,0.005974364,0.005730945,0.005734542,0.005512115
220.735189,3.19E-05,2.77E-05,3.04E-05,2.99E-05,2.91E-05
250.405056,1.07E-05,1.10E-05,1.01E-05,1.05E-05,1.01E-05
280.074924,2.81E-06,3.64E-06,3.49E-06,4.70E-06,2.56E-06
309.744792,2.13E-06,4.52E-06,1.40E-06,2.54E-06,1.61E-06
339.414659,1.60E-06,4.53E-06,1.61E-06,1.85E-06,1.02E-06
369.084527,1.58E-06,4.94E-06,1.32E-06,2.17E-06,9.44E-07
398.754395,1.50E-06,3.81E-06,1.32E-06,1.63E-06,8.63E-07
428.424262,1.42E-06,3.88E-06,1.14E-06,1.73E-06,7.21E-07
458.09413,1.30E-06,3.51E-06,1.09E-06,1.85E-06,7.31E-07
487.763997,1.54E-06,2.96E-06,1.03E-06,1.90E-06,7.08E-07
517.433865,1.50E-06,3.25E-06,9.10E-07,1.67E-06,6.09E-07
547.103733,2.06E-06,3.21E-06,8.40E-07,1.71E-06,7.23E-07
576.7736,2.37E-06,3.19E-06,9.38E-07,1.54E-06,7.50E-07
606.443468,2.21E-06,3.34E-06,9.60E-07,1.86E-06,8.50E-07
636.113336,2.04E-06,2.75E-06,8.34E-07,1.88E-06,8.95E-07
665.783203,2.43E-06,2.85E-06,8.93E-07,2.00E-06,8.83E-07
695.453071,2.19E-06,2.67E-06,9.92E-07,1.72E-06,9.09E-07
725.122938,1.94E-06,2.73E-06,1.04E-06,1.76E-06,8.62E-07
754.792806,1.54E-06,2.77E-06,9.94E-07,1.49E-06,7.69E-07
784.462674,1.74E-06,2.44E-06,9.15E-07,1.69E-06,6.85E-07
814.132541,1.85E-06,2.45E-06,9.56E-07,1.99E-06,7.35E-07
843.802409,1.96E-06,2.26E-06,1.21E-06,1.62E-06,7.31E-07
873.472276,1.92E-06,2.48E-06,1.21E-06,1.77E-06,8.12E-07
903.142144,1.85E-06,2.49E-06,1.15E-06,1.93E-06,9.18E-07
932.812012,1.97E-06,2.14E-06,1.09E-06,1.75E-06,1.13E-06
962.481879,1.70E-06,2.59E-06,9.70E-07,2.01E-06,1.07E-06
992.151747,1.71E-06,2.32E-06,7.64E-07,1.69E-06,9.51E-07
1021.821615,1.59E-06,2.08E-06,9.77E-07,1.66E-06,8.81E-07
1051.491482,1.21E-06,1.83E-06,1.03E-06,1.50E-06,8.55E-07
1081.16135,1.40E-06,1.95E-06,1.07E-06,1.36E-06,1.02E-06
1110.831217,1.83E-06,1.86E-06,9.58E-07,1.16E-06,1.28E-06
1140.501085,1.60E-06,1.70E-06,9.34E-07,1.41E-06,1.35E-06
1170.170953,1.34E-06,1.86E-06,9.52E-07,1.45E-06,1.26E-06
1199.84082,1.62E-06,2.30E-06,9.88E-07,1.35E-06,1.00E-06
1229.510688,1.95E-06,2.46E-06,1.03E-06,1.27E-06,8.97E-07
1259.180556,1.91E-06,2.46E-06,1.07E-06,1.31E-06,1.02E-06
1288.850423,1.97E-06,1.96E-06,1.20E-06,1.24E-06,1.10E-06
1318.520291,1.97E-06,1.64E-06,1.21E-06,1.18E-06,8.10E-07
1348.190158,1.87E-06,1.75E-06,1.13E-06,1.35E-06,8.79E-07
1377.860026,1.81E-06,1.84E-06,1.15E-06,1.48E-06,9.91E-07
1407.529894,1.87E-06,1.97E-06,1.11E-06,1.34E-06,1.03E-06
1437.199761,2.26E-06,1.95E-06,7.93E-07,1.24E-06,9.23E-07
1466.869629,2.10E-06,1.83E-06,1.12E-06,1.23E-06,7.78E-07
1496.539497,1.84E-06,1.44E-06,1.21E-06,1.40E-06,9.00E-07
1526.209364,1.37E-06,1.58E-06,1.20E-06,1.51E-06,8.80E-07
1555.879232,1.61E-06,1.94E-06,1.06E-06,1.34E-06,1.01E-06
1585.549099,1.87E-06,1.70E-06,1.03E-06,1.25E-06,1.03E-06
1615.218967,2.05E-06,1.48E-06,8.31E-07,1.29E-06,1.15E-06
1644.888835,2.16E-06,1.40E-06,1.11E-06,1.29E-06,1.03E-06
1674.558702,2.28E-06,1.49E-06,1.02E-06,1.31E-06,9.22E-07
1704.22857,2.19E-06,1.49E-06,9.58E-07,1.28E-06,9.27E-07
1733.898437,1.77E-06,1.41E-06,1.03E-06,1.37E-06,8.50E-07
1763.568305,1.80E-06,1.44E-06,8.26E-07,1.44E-06,8.36E-07
1793.238173,1.66E-06,1.46E-06,9.80E-07,1.27E-06,9.57E-07
1822.90804,1.83E-06,1.51E-06,1.11E-06,9.36E-07,7.83E-07
1852.577908,2.22E-06,1.28E-06,1.39E-06,9.94E-07,7.76E-07
1882.247776,1.92E-06,1.65E-06,1.25E-06,1.34E-06,8.22E-07
1911.917643,1.82E-06,1.41E-06,1.07E-06,1.36E-06,1.02E-06
1941.587511,2.02E-06,1.32E-06,1.22E-06,1.30E-06,8.31E-07
1971.257378,1.94E-06,1.32E-06,1.10E-06,1.45E-06,9.07E-07
